ID,pixelcount,UTM
1614877,64,33N
1614878,0,33N
1614879,574,33N
1614880,91,33N
1614881,7,33N
1615178,119,33N
1615176,548,33N
1615181,0,33N
1615323,0,33N
1615327,0,33N
1615326,0,33N
1615330,0,33N
1615331,69,33N
1633669,1315,33N
1633670,447,33N
1633668,185,33N
1633665,12,33N
1633663,612,33N
1633664,409,33N
1633667,127,33N
1633666,632,33N
1634877,0,33N
1634876,106,33N
1634878,30,33N
1634880,8,33N
1634882,178,33N
1634879,295,33N
1634881,523,33N
1644098,217,33N
1644100,94,33N
1644096,216,33N
1644097,110,33N
1644099,339,33N
1646729,179,33N
1647022,72,33N
1647024,195,33N
1647025,0,33N
1647023,171,33N
1763851,100,33N
1762625,54,33N
1762626,0,33N
1763854,0,33N
1952142,627,33N
1952144,308,33N
1952146,152,33N
1952145,594,33N
1952147,7,33N
1952150,450,33N
1952148,390,33N
1952149,105,33N
1953333,0,33N
1953332,327,33N
1953334,1,33N
1953335,4,33N
2027194,109,33N
2027193,187,33N
2027191,153,33N
2027189,178,33N
2027187,102,33N
2027186,0,33N
2027185,89,33N
2027184,40,33N
2027192,12,33N
2027190,64,33N
2027188,165,33N
2027617,0,33N
2030504,194,33N
2030513,0,33N
2030518,11,33N
2030923,145,33N
2031722,39,33N
2032510,0,33N
2038231,157,33N
2038696,374,33N
2042188,422,33N
2045998,2,33N
2051295,448,33N
2051296,1,33N
2051682,7,33N
2051684,32,33N
2051683,14,33N
2051681,8,33N
2051689,199,33N
2051691,0,33N
2051688,34,33N
2051692,134,33N
2104333,202,33N
2104332,3,33N
2104336,105,33N
2104331,272,33N
2104335,21,33N
2104338,179,33N
2104334,37,33N
2104337,55,33N
2104724,63,33N
2108413,310,33N
2108412,0,33N
2108414,28,33N
2108411,389,33N
2113894,8,33N
2113893,87,33N
2113897,3,33N
2113898,481,33N
2113900,586,33N
2113901,0,33N
2113895,5,33N
2113896,615,33N
2113899,251,33N
2123581,39,33N
2130278,275,33N
2130277,2,33N
2130608,0,33N
2130610,150,33N
2130605,53,33N
2130606,2,33N
2130611,220,33N
2130973,131,33N
2130974,0,33N
2132975,33,33N
2133312,11,33N
2133314,287,33N
2133313,9,33N
2133311,40,33N
2134080,4,33N
2134178,84,33N
2134177,25,33N
2137507,0,33N
2137508,80,33N
2157006,0,33N
2157004,20,33N
2157007,118,33N
2157009,260,33N
2157005,20,33N
2157427,0,33N
2157424,897,33N
2157428,5,33N
2157423,434,33N
2158203,453,33N
2158204,24,33N
2158208,0,33N
2158209,10,33N
2158205,3,33N
2158210,267,33N
2158206,8,33N
2158207,9,33N
2158211,44,33N
2158212,1,33N
2161400,145,33N
2160615,91,33N
2161399,177,33N
2161397,46,33N
2161398,82,33N
2174514,359,33N
2175656,383,33N
2175280,458,33N
2186322,118,33N
2186333,44,33N
2186968,9,33N
2198491,264,33N
2198492,8,33N
2198493,355,33N
2198494,130,33N
2198992,2,33N
2198985,2,33N
2198991,0,33N
2198993,3,33N
2198986,3,33N
2199325,395,33N
2199327,79,33N
2199328,19,33N
2200140,9,33N
2203219,2,33N
2204127,0,33N
2204122,88,33N
2204124,36,33N
2204126,208,33N
2204532,12,33N
2204534,322,33N
2204533,36,33N
2204537,0,33N
2204535,0,33N
2204536,124,33N
2204538,60,33N
2204934,5,33N
2204936,4,33N
2204938,6,33N
2204939,75,33N
2204937,47,33N
2204935,2,33N
2215226,78,33N
2215227,0,33N
2215229,231,33N
2215613,6,33N
2215610,9,33N
2262387,0,33N
2262384,275,33N
2262389,168,33N
2262388,98,33N
2262395,15,33N
2262383,46,33N
2262391,231,33N
2262393,123,33N
2262386,9,33N
2262392,264,33N
2262394,0,33N
2262396,70,33N
2262397,157,33N
2263046,101,33N
2263048,0,33N
2263047,1,33N
2263051,0,33N
2263053,0,33N
2263049,0,33N
2263052,0,33N
2263054,0,33N
2263050,2,33N
2263055,2,33N
2308373,401,33N
2308376,1,33N
2308377,152,33N
2308379,184,33N
2308378,150,33N
2308375,272,33N
2308374,159,33N
2308617,108,33N
2308616,68,33N
2308614,80,33N
2308615,103,33N
2309038,118,33N
2309039,9,33N
2309328,6,33N
2309329,3,33N
2317444,2,33N
2317443,87,33N
2317445,0,33N
2317446,94,33N
2319163,0,33N
2319159,130,33N
2319158,24,33N
2319161,114,33N
2319157,0,33N
2319160,0,33N
2319164,333,33N
2319165,0,33N
2324123,0,33N
2324122,9,33N
2324125,0,33N
2324126,358,33N
2324124,96,33N
2324449,0,33N
2324451,0,33N
2324455,418,33N
2324454,276,33N
2324450,21,33N
2324754,0,33N
2324753,6,33N
2334157,75,33N
2334159,29,33N
2334160,3,33N
2334158,40,33N
2339063,29,33N
2339061,0,33N
2339062,0,33N
2339060,0,33N
2339059,18,33N
2339522,525,33N
2339514,212,33N
2339512,219,33N
2339506,0,33N
2339509,426,33N
2339526,0,33N
2339508,77,33N
2339064,0,33N
2350324,4,33N
2350326,0,33N
2350322,236,33N
2356167,470,33N
2428818,378,33N
2429490,181,33N
2429491,3,33N
2429495,31,33N
2429497,153,33N
2429498,40,33N
2429489,1,33N
2429493,5,33N
2429499,120,33N
2429494,2,33N
2429501,16,33N
2429492,16,33N
2429496,634,33N
2429500,360,33N
2429782,0,33N
2429781,319,33N
2429780,90,33N
2430520,55,33N
2430522,7,33N
2430521,22,33N
2475243,121,33N
2475643,138,33N
2605049,12,33N
2605047,3,33N
2605048,136,33N
2605046,548,33N
2605400,0,33N
2605401,73,33N
2605404,194,33N
2605402,362,33N
2605403,288,33N
2615808,0,33N
2615807,0,33N
2618952,7,33N
2618949,27,33N
2619389,0,33N
2619392,123,33N
2619394,125,33N
2619391,97,33N
2619393,102,33N
2650822,376,33N
2650835,81,33N
2650844,40,33N
2651567,62,33N
2651570,0,33N
2651572,96,33N
2651568,0,33N
2651569,228,33N
2651566,0,33N
